"","qno","w","np","d","ns","a","p","p3","cg","nip","ad.p","pd.p","pnp.p","pcg","p3cg","np.1"
"1","female","0.706","0.691","0.687","0.707","0.735","0.758","0.763","0.727","","0.212","0.124","0.135","0.555","0.523","444"
"2","age","40.186","40.041","40.284","39.204","40.036","40.694","41.613","39.96","","0.709","0.61","0.406","0.414","0.088","436"
"3","catholic","0.711","0.726","0.758","0.617","0.64","0.658","0.656","0.739","","0.004","0.046","0.163","0.157","0.181","424"
"4","protestant","0.289","0.274","0.242","0.383","0.36","0.342","0.344","0.261","","0.004","0.046","0.163","0.157","0.181","424"
"5","single","0.108","0.108","0.102","0.131","0.117","0.105","0.075","0.08","","0.583","0.923","0.911","0.484","0.894","443"
"6","married","0.767","0.772","0.811","0.636","0.7","0.75","0.785","0.793","","0.003","0.171","0.616","0.398","0.877","443"
"7","divorced","0.125","0.12","0.087","0.232","0.184","0.145","0.14","0.127","","0.001","0.102","0.471","0.659","0.772","443"
"8","fulltime","0.417","0.426","0.449","0.343","0.368","0.387","0.43","0.473","","0.053","0.228","0.44","0.152","0.512","444"
"9","partime","0.171","0.164","0.174","0.131","0.166","0.194","0.215","0.167","","0.804","0.633","0.464","0.567","0.359","444"
"10","seekwork","0.026","0.029","0.017","0.071","0.04","0.016","0.011","0.027","","0.126","0.925","0.345","0.546","0.351","444"
"11","student","0.004","0.002","0.003","0","0.004","0.008","0","0","","0.767","0.548","0.489","0.319","NaN","444"
"12","retired","0.069","0.065","0.061","0.081","0.081","0.081","0.075","0.087","","0.375","0.477","0.574","0.858","0.751","444"
"13","homemaker","0.298","0.293","0.275","0.354","0.332","0.315","0.269","0.213","","0.156","0.418","0.645","0.061","0.333","444"
"14","other","0.016","0.02","0.02","0.02","0.009","0","0","0.033","","0.253","0.008","0.003","0.025","0.025","444"
"15","s fulltime","0.664","0.665","0.675","0.621","0.644","0.66","0.685","0.689","","0.509","0.786","0.925","0.651","0.952","349"
"16","s parttime","0.115","0.12","0.117","0.136","0.112","0.096","0.082","0.118","","0.896","0.563","0.485","0.607","0.42","349"
"17","s seekwork","0.032","0.032","0.025","0.061","0.044","0.032","0.027","0.008","","0.309","0.726","0.985","0.244","0.368","349"
"18","s student","0","0","0","0","0","0","0","0","","NaN","NaN","NaN","NaN","NaN","349"
"19","s retired","0.088","0.08","0.081","0.076","0.1","0.117","0.11","0.084","","0.516","0.337","0.314","0.433","0.569","349"
"20","s homemaker","0.09","0.092","0.092","0.091","0.088","0.085","0.096","0.101","","0.877","0.841","0.841","0.695","0.911","349"
"21","s other","0.011","0.011","0.011","0.015","0.013","0.011","0","0","","0.859","0.998","0.946","0.32","NaN","349"
"22","degree","0.19","0.188","0.196","0.162","0.18","0.195","0.217","0.187","","0.64","0.985","0.864","0.86","0.568","441"
"23","btechhigh","0.046","0.052","0.047","0.071","0.045","0.024","0.033","0.067","","0.923","0.216","0.114","0.089","0.219","441"
"24","gce","0.108","0.102","0.114","0.061","0.099","0.13","0.098","0.153","","0.573","0.647","0.406","0.584","0.197","441"
"25","btechnat","0.028","0.025","0.026","0.02","0.032","0.041","0.054","0.04","","0.721","0.472","0.418","0.978","0.618","441"
"26","cse","0.275","0.274","0.263","0.313","0.293","0.276","0.283","0.3","","0.445","0.778","0.964","0.67","0.773","441"
"27","cse","0.059","0.061","0.056","0.081","0.063","0.049","0.043","0.013","","0.715","0.77","0.583","0.103","0.199","441"
"28","no educ","0.218","0.218","0.211","0.242","0.23","0.22","0.196","0.167","","0.593","0.837","0.966","0.275","0.575","441"
"29","other","0.076","0.079","0.088","0.051","0.059","0.065","0.076","0.073","","0.186","0.403","0.579","0.789","0.937","441"
