"","qno","t1","t2","diff","p","n"
"1","21 Maj. Prot.","0.242","0.355","0.113","0.026","124"
"2","22 Omagh","0.185","0.476","0.29","0","124"
"3","23 New Entit","0.21","0.75","0.54","0","124"
"4","24 New Entit","0.29","0.629","0.339","0","124"
"5","25 Leave Sch.","0.29","0.435","0.145","0.002","124"
"6","26 Funding","0.226","0.79","0.565","0","124"
"7","27 Auth.","0.081","0.089","0.008","0.783","124"
"8","Avg.","0.218","0.503","0.286","0","124"
