"","qno","t1","t1.p","t2","t2.p","t3","t3.p","t3c","t3c.p","t2t1","t2t1.p","t3t2","t3t2.p","t3t3c","t3t3c.p","n"
"1","2a",0.737,0,0.722,0,0.807,0,0.687,0,-0.016,0.619,0.086,0.004,-0.12,0.002,83
"2","2a",0.741,0,0.759,0,0.824,0,0.641,0.011,0.017,0.755,0.066,0.06,-0.184,0.009,29
"3","2a",0.735,0,0.702,0,0.798,0,0.704,0,-0.033,0.389,0.096,0.02,-0.094,0.048,54
"4","2a",0.006,0.927,0.057,0.411,0.026,0.654,-0.063,0.295,-0.051,0.452,0.031,0.557,-0.089,0.302,83
"5","13a",0.587,0.013,0.661,0,0.712,0,0.529,0.232,0.074,0.091,0.051,0.243,-0.183,0,76
"6","13a",0.637,0.022,0.681,0.002,0.663,0.01,0.525,0.607,0.044,0.484,-0.019,0.778,-0.138,0.074,27
"7","13a",0.559,0.177,0.649,0.004,0.739,0,0.531,0.281,0.09,0.124,0.09,0.123,-0.208,0,49
"8","13a",0.078,0.277,0.033,0.65,-0.076,0.296,-0.006,0.919,0.045,0.595,0.108,0.215,0.07,0.433,76
"9","17a",0.725,0,0.739,0,0.818,0,0.729,0,0.015,0.622,0.079,0.026,-0.089,0.021,89
"10","17a",0.713,0,0.768,0,0.777,0,0.686,0.001,0.055,0.262,0.01,0.855,-0.091,0.203,31
"11","17a",0.731,0,0.724,0,0.84,0,0.744,0,-0.007,0.854,0.116,0.012,-0.096,0.038,58
"12","17a",-0.018,0.744,0.044,0.455,-0.062,0.316,-0.057,0.323,-0.062,0.314,0.106,0.129,0.005,0.954,89
"13","20a",0.807,0,0.804,0,0.83,0,NA,NA,-0.003,0.92,0.027,0.442,NA,NA,84
"14","20a",0.817,0,0.8,0,0.783,0,NA,NA,-0.017,0.774,-0.017,0.798,NA,NA,30
"15","20a",0.801,0,0.806,0,0.856,0,NA,NA,0.005,0.89,0.051,0.213,NA,NA,54
"16","20a",0.016,0.749,-0.006,0.926,-0.073,0.273,NA,NA,0.021,0.75,0.068,0.378,NA,NA,84
